Session 1
EN,TH,ImageURL
Apple,แอปเปิ้ล,https://images.unsplash.com/photo-1560806887-1e4cd0b6cadb
Banana,กล้วย,https://images.unsplash.com/photo-1571771894821-ad9902537c17
Cat,แมว,https://images.unsplash.com/photo-1514888286974-6c03e2ca1dba
Dog,สุนัข,https://images.unsplash.com/photo-1543466835-00a7907e9de1
Elephant,ช้าง,https://images.unsplash.com/photo-1557050543-4d5f4e07ef46
Session 2
EN,TH,ImageURL
Bird,นก,https://images.unsplash.com/photo-1444464666168-49d633b867ad
Fish,ปลา,https://images.unsplash.com/photo-1524704654690-b56c05c78a00
Giraffe,ยีราฟ,https://images.unsplash.com/photo-1501032338616-3b108669b274
Lion,สิงโต,https://images.unsplash.com/photo-1546182990-dffeafbe841d
Zebra,ม้าลาย,https://images.unsplash.com/photo-1526438423610-3f411693a239
